"GEOID","suffix","n"
"21177","LN",500
"21179","RD",287
"21181","RD",204
"21183","RD",474
"21185","CT",424
"21187","RD",276
"21189","RD",408
"21191","RD",336
"21193","LN",642
"21195","RD",965
"21197","RD",350
"21199","RD",1589
"21201","RD",103
"21203","RD",617
"21205","RD",638
"21207","RD",736
"21209","DR",290
"21211","RD",307
"21213","RD",312
"21215","RD",204
"21217","RD",600
"21219","RD",446
"21221","RD",566
"21223","RD",232
"21225","RD",378
"21227","RD",594
"21229","LN",207
"21231","RD",695
"21233","RD",358
"21235","RD",922
"21237","RD",467
"21239","RD",161
"22001","RD",572
"22003","RD",724
"22005","RD",1035
"22007","ST",319
"22009","RD",454
"22011","RD",1615
"22013","RD",690
"22015","RD",648
"22017","ST",1667
"22019","ST",1851
"22021","RD",554
"22023","RD",413
"22025","RD",540
"22027","RD",589
"22029","RD",372
"22031","RD",718
"22033","DR",2742
"22035","RD",174
"22037","LN",216
"22039","RD",654
"22041","RD",586
"22043","RD",582
"22045","ST",805
"22047","ST",379
"22049","RD",603
"22051","ST",1954
"22053","RD",506
"22055","DR",1850
"22057","ST",1202
"22059","RD",1051
"22061","RD",501
"22063","RD",977
"22065","ST",211
"22067","RD",582
"22069","RD",1067
"22071","ST",1886
"22073","RD",994
"22075","LN",526
"22077","ST",228
"22079","RD",1460
"22081","RD",302
"22083","RD",602
"22085","RD",789
"22087","DR",297
"22089","ST",324
"22091","LN",428
"22093","ST",430
"22095","ST",336
"22097","RD",1125
"22099","RD",571
"22101","ST",1169
"22103","RD",1834
"22105","RD",1466
"22107","RD",160
"22109","ST",884
"22111","RD",1048
"22113","RD",1130
"22115","RD",1603
"22117","RD",1307
"22119","RD",717
"22121","LN",202
"22123","RD",332
"22125","RD",217
"22127","RD",934
"23001","RD",1092
"23003","RD",2238
"23005","RD",3868
"23007","RD",1648
"23009","RD",2592
"23011","RD",2027
"23013","RD",1139
"23015","RD",1767
"23017","RD",2421
"23019","RD",2315
"23021","RD",1311
"23023","RD",675
"23025","RD",1877
"23027","RD",1348
"23029","RD",1688
"23031","RD",2762
"24001","ST",667
"24003","RD",3473
"24005","RD",4029
"24009","RD",649
"24011","RD",397
"24013","DR",1552
"24015","RD",831
"24017","PL",1563
"24019","RD",543
"24021","CT",1456
"24023","RD",693
"24025","CT",1581
"24027","CT",1371
"24029","RD",411
"24031","CT",2572
"24033","CT",2444
"24035","LN",633
"24037","LN",1209
"24039","RD",403
"24041","RD",633
"24043","RD",718
"24045","DR",525
"24047","RD",588
"24510","AVE",1914
"25001","RD",4333
"25003","RD",1638
"25005","ST",4286
"25007","RD",745
"25009","ST",4700
"25011","RD",1360
"25013","ST",3347
"25015","RD",964
"25017","ST",7831
"25019","RD",349
"25021","ST",3675
"25023","ST",3076
"25025","ST",3460
"25027","ST",5428
"26001","RD",586
"26003","RD",722
"26005","ST",1177
"26007","RD",513
"26009","RD",625
"26011","RD",506
"26013","RD",577
"26015","RD",706
"26017","RD",729
"26019","RD",559
"26021","ST",1156
"26023","RD",556
"26025","ST",822
"26027","ST",730
"26029","RD",688
"26031","RD",934
"26033","RD",1295
"26035","RD",624
"26037","RD",582
"26039","RD",653
"26041","RD",718
"26043","RD",472
"26045","DR",567
"26047","RD",586
"26049","DR",2316
"26051","RD",549
"26053","RD",585
"26055","DR",776
"26057","RD",531
"26059","RD",501
"26061","RD",854
"26063","RD",551
"26065","ST",1051
"26067","ST",586
"26069","RD",804
"26071","RD",567
"26073","RD",523
"26075","RD",1101
"26077","ST",1360
"26079","NE",389
"26081","SE",3694
"26083","RD",214
"26085","RD",700
"26087","RD",702
"26089","RD",638
"26091","ST",624
"26093","DR",1764
"26095","RD",310
"26097","RD",561
"26099","DR",5336
"26101","RD",786
"26103","RD",829
"26105","RD",744
"26107","AVE",479
"26109","RD",472
"26111","RD",627
"26113","RD",700
"26115","DR",765
"26117","RD",1118
"26119","RD",567
"26121","RD",1026
"26123","ST",817
"26125","DR",6709
"26127","RD",666
"26129","RD",743
"26131","RD",346
"26133","RD",579
"26135","RD",544
"26137","RD",506
"26139","DR",1541
"26141","RD",453
"26143","RD",689
"26145","ST",1232
"26147","ST",731
"26149","RD",672
"26151","RD",712
"26153","RD",402
"26155","ST",600
"26157","RD",765
"26159","ST",934
"26161","DR",1748
"26163","ST",9211
"26165","RD",862
"27001","PL",549
"27003","NE",3415
"27005","RD",562
"27007","NE",995
"27009","NE",469
"27011","ST",271
"27013","ST",826
"27015","ST",401
"27017","RD",722
"27019","DR",399
"27021","NW",1135
"27023","ST",136
"27025","ST",699
"27027","S",797
"27029","ST",216
"27031","RD",350
"27033","ST",231
"27035","RD",1043
"27037","CT",1279
"27039","ST",259
"27041","NW",381
"27043","ST",471
"27045","ST",488
"27047","ST",548
"27049","ST",612
"27051","ST",283
"27053","N",5314
"27055","RD",295
"27057","DR",553
"27059","NW",722
"27061","RD",1201
"27063","ST",296
"27065","ST",280
"27067","NE",435
"27069","ST",166
"27071","RD",157
"27073","ST",343
"27075","RD",577
"27077","NW",287
"27079","ST",431
"27081","ST",252
"27083","ST",601
"27085","ST",269
"27087","AVE",168
"27089","NW",388
"27091","ST",489
"27093","ST",510
"27095","ST",363
"27097","ST",455
"27099","ST",537
"27101","ST",293
"27103","ST",278
"27105","AVE",341
"27107","ST",229
"27109","NW",1332
"27111","AVE",1235
"27113","NE",187
"27115","RD",954
"27117","ST",173
"27119","SE",773
"27121","ST",420
"27123","ST",1796
"27125","SE",169
"27127","ST",487
"27129","ST",320
"27131","AVE",395
"27133","ST",398
"27135","AVE",442
"27137","RD",3326
"27139","ST",380
"27141","NW",1215
"27143","ST",382
"27145","ST",923
"27147","NE",239
"27149","ST",252
"27151","SW",192
"27153","AVE",411
"27155","ST",156
"27157","ST",472
"27159","AVE",255
"27161","ST",301
"27163","N",2392
"27165","ST",181
"27167","AVE",242
"27169","ST",395
"27171","NE",1102
"27173","ST",250
"28001","RD",419
"28003","ST",221
"28005","RD",355
"28007","RD",162
"28009","RD",355
"28011","RD",599
"28013","ST",188
"28015","RD",203
"28017","ST",158
"28019","RD",449
"28021","RD",268
"28023","ST",142
"28025","RD",455
"28027","RD",370
"28029","LN",505
"28031","RD",502
"28033","DR",1511
"28035","RD",631
"28037","RD",284
"28039","RD",678
"28041","RD",630
"28043","RD",529
"28045","ST",926
"28047","DR",1402
"28049","DR",1478
"28051","RD",505
"28053","RD",388
"28055","RD",188
"28057","RD",857
"28059","RD",1042
"28061","ST",69
"28063","RD",382
"28065","RD",414
"28067","RD",1286
"28069","RD",788
"28071","DR",285
"28073","RD",851
"28075","RD",705
"28077","LN",365
"28079","RD",608
"28081","DR",768
"28083","ST",324
"28085","SE",275
"28087","RD",664
"28089","DR",723
"28091","LN",416
"28093","RD",543
"28095","RD",493
"28097","RD",268
"28099","RD",131
"28101","RD",512
"28103","RD",370
"28105","RD",574
"28107","RD",652
"28109","RD",1250
"28111","RD",486
"28113","RD",495
"28115","RD",303
"28117","ST",181
"28119","RD",405
"28121","DR",1267
"28123","RD",566
"28125","RD",199
"28127","RD",993
"28129","ST",84
"28131","RD",568
"28133","RD",540
"28135","RD",326
"28137","RD",439
"28139","ST",138
"28141","ST",188
"28143","RD",279
"28145","DR",120
"28147","RD",576
"28149","DR",430
"28151","ST",609
"28153","DR",512
"28155","RD",345
"28157","LN",210
"28159","RD",594
"28161","RD",227
"28163","RD",404
"29001","ST",373
"29003","ST",238
"29005","ST",393
"29007","ST",406
"29009","RD",358
"29011","RD",249
"29013","ST",410
"29015","RD",738
