"GEOID","suffix","n","proportion"
"16057","RD",524,0.339378238341969
"16059","RD",951,0.194240196078431
"16061","RD",229,0.516930022573363
"16063","RD",147,0.245819397993311
"16065","RD",176,0.16988416988417
"16067","RD",245,0.237864077669903
"16069","RD",465,0.269878119558909
"16071","RD",167,0.232914923291492
"16073","RD",437,0.437875751503006
"16075","ST",173,0.25
"16077","RD",342,0.5472
"16079","RD",465,0.278443113772455
"16081","RD",306,0.176064441887227
"16083","N",444,0.163055453543885
"16085","RD",472,0.252541466024612
"16087","RD",223,0.420754716981132
"17001","ST",1105,0.250851305334847
"17003","RD",254,0.381381381381381
"17005","ST",430,0.261875761266748
"17007","DR",245,0.182835820895522
"17009","E",201,0.318541996830428
"17011","ST",1637,0.416539440203562
"17013","RD",181,0.450248756218905
"17015","ST",379,0.347706422018349
"17017","RD",385,0.386158475426279
"17019","DR",1383,0.25460235640648
"17021","ST",734,0.330481764970734
"17023","ST",627,0.335832886984467
"17025","E",316,0.182448036951501
"17027","ST",649,0.301720130172013
"17029","ST",491,0.19315499606609
"17031","AVE",11948,0.265116382275279
"17033","ST",658,0.506153846153846
"17035","ST",188,0.142857142857143
"17037","ST",740,0.289968652037618
"17039","RD",733,0.361261705273534
"17041","ST",374,0.298722044728434
"17043","CT",3368,0.215138933248164
"17045","ST",648,0.322709163346614
"17047","ST",198,0.235434007134364
"17049","ST",738,0.30917469627147
"17051","ST",530,0.256286266924565
"17053","RD",330,0.380622837370242
"17055","ST",1155,0.478458989229495
"17057","RD",887,0.347843137254902
"17059","RD",226,0.30173564753004
"17061","ST",309,0.234446130500759
"17063","ST",488,0.262506724045186
"17065","N",335,0.289291882556131
"17067","ST",639,0.30298719772404
"17069","ST",83,0.273927392739274
"17071","ST",268,0.27263479145473
"17073","ST",1068,0.470070422535211
"17075","RD",1082,0.295466957946477
"17077","RD",942,0.318135764944276
"17079","ST",473,0.461463414634146
"17081","RD",637,0.19026284348865
"17083","RD",391,0.258940397350993
"17085","RD",519,0.268911917098446
"17087","LN",281,0.299254526091587
"17089","DR",1744,0.194274256433107
"17091","RD",815,0.231995445488187
"17093","DR",544,0.197602615328732
"17095","ST",857,0.342525979216627
"17097","CT",2788,0.186625610817324
"17099","ST",1653,0.372465074357819
"17101","ST",256,0.182466143977192
"17103","RD",497,0.31656050955414
"17105","RD",667,0.386218876664737
"17107","ST",989,0.442901925660546
"17109","ST",824,0.363155575143235
"17111","DR",1755,0.221955229543443
"17113","RD",1398,0.225957653143688
"17115","ST",910,0.241123476417594
"17117","ST",1314,0.332742466447202
"17119","ST",1899,0.226990198422185
"17121","ST",727,0.247784594410361
"17123","ST",328,0.302304147465438
"17125","ST",457,0.270574304322084
"17127","RD",234,0.248671625929862
"17129","ST",385,0.295471987720645
"17131","ST",549,0.474093264248705
"17133","RD",379,0.245625405055087
"17135","ST",799,0.299924924924925
"17137","RD",594,0.346760070052539
"17139","ST",359,0.311902693310165
"17141","RD",697,0.30704845814978
"17143","ST",947,0.192871690427699
"17145","RD",556,0.414615958240119
"17147","ST",476,0.329411764705882
"17149","ST",873,0.329682779456193
"17151","RD",211,0.515892420537897
"17153","RD",227,0.323361823361823
"17155","ST",223,0.292267365661861
"17157","ST",782,0.386363636363636
"17159","N",279,0.18452380952381
"17161","AVE",1102,0.255269863331017
"17163","DR",2249,0.257617411225659
"17165","RD",559,0.339817629179331
"17167","ST",1370,0.221146085552865
"17169","RD",327,0.423027166882277
"17171","RD",227,0.309264305177112
"17173","ST",515,0.215751989945538
"17175","ST",161,0.235036496350365
"17177","RD",572,0.326857142857143
"17179","ST",1221,0.2775
"17181","LN",342,0.270783847980998
"17183","RD",1424,0.337041420118343
"17185","ST",161,0.204574332909784
"17187","ST",693,0.489752650176678
"17189","ST",536,0.42472266244057
"17191","ST",289,0.148662551440329
"17193","ST",438,0.291223404255319
"17195","RD",624,0.297426120114395
"17197","DR",3205,0.224912280701754
"17199","ST",1072,0.323769254001812
"17201","DR",1331,0.20578231292517
"17203","ST",620,0.302144249512671
"18001","ST",317,0.292165898617512
"18003","DR",2131,0.224339404147805
"18005","DR",616,0.2398753894081
"18007","ST",251,0.347645429362881
"18009","ST",237,0.382258064516129
"18011","ST",338,0.150960250111657
"18013","RD",383,0.366507177033493
"18015","ST",316,0.23218221895665
"18017","ST",438,0.275818639798489
"18019","DR",721,0.235083143136616
"18021","ST",474,0.371182458888019
"18023","ST",448,0.366912366912367
"18025","RD",361,0.376041666666667
"18027","ST",361,0.242444593687038
"18029","LN",501,0.266064790228359
"18031","ST",262,0.213355048859935
"18033","ST",425,0.328692962103635
"18035","ST",778,0.229228049499116
"18037","ST",495,0.266129032258065
"18039","DR",1169,0.223347344287352
"18041","ST",203,0.243990384615385
"18043","DR",574,0.275299760191847
"18045","ST",423,0.314732142857143
"18047","RD",481,0.457659372026641
"18049","ST",261,0.209302325581395
"18051","ST",532,0.275647668393782
"18053","ST",964,0.36377358490566
"18055","ST",491,0.216014078310603
"18057","DR",2248,0.253267237494367
"18059","DR",530,0.190647482014388
"18061","NE",499,0.309361438313701
"18063","DR",1222,0.266230936819172
"18065","ST",535,0.316193853427896
"18067","ST",509,0.241003787878788
"18069","ST",429,0.303824362606232
"18071","ST",364,0.218487394957983
"18073","ST",300,0.173010380622837
"18075","ST",358,0.383708467309753
"18077","RD",327,0.232905982905983
"18079","W",268,0.193501805054152
"18081","DR",1005,0.25049850448654
"18083","RD",742,0.335898596650068
"18085","ST",811,0.213645943097998
"18087","E",264,0.210526315789474
"18089","ST",2830,0.286089769510716
"18091","ST",802,0.230063109581182
"18093","RD",672,0.293321693583588
"18095","ST",1391,0.323337982333798
"18097","DR",4582,0.244529832426086
